# Swift-BAT daily average light curve for 1A 0535+262                   
# Generated Wed Jul 14 11:05:52 UTC 2021
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53591      -0.00083670     0.00223545   2005         221     0.00191375    -0.00002928      0    4536.00000000  1306.30468750  1600.00000000
      53592       0.00244969     0.00258543   2005         222     0.00221234     0.00008574      0    1152.00000000   779.00000000  1152.00000000
      53593       0.00205735     0.00199313   2005         223     0.00170534     0.00007201      0    5280.00000000  1601.31250000  1728.00000000
      53594       0.00104193     0.00071081   2005         224     0.00060777     0.00003647      0    9104.00000000  7268.20312500   448.00000000
      53595      -0.01135852     0.01785866   2005         225     0.01528616    -0.00039755      3      64.00000000    27.50000000    64.00000000
      53596      -0.01323193     0.01003609   2005         226     0.00858339    -0.00046312      2      64.00000000    42.50000000    64.00000000
      53597      -0.02059629     0.01466083   2005         227     0.01253690    -0.00072087      3      64.00000000    27.50000000    64.00000000
      53598      -0.00130133     0.00125474   2005         228     0.00107356    -0.00004555      0    9856.00000000  3381.75000000   128.00000000
      53599       0.00114216     0.00140735   2005         229     0.00120444     0.00003998      0    5176.00000000  3060.68750000  2240.00000000
      53600      -0.00056710     0.00062259   2005         230     0.00053277    -0.00001985      0   20600.00000000 12675.67966199   256.00000000
      53601       0.00185427     0.00068585   2005         231     0.00058457     0.00006490      0   12920.00000000  8509.68750000     0.00000000
      53602       0.00189343     0.00066708   2005         232     0.00056831     0.00006627      0   16400.00000000  9855.48437500   192.00000000
      53603       0.00078327     0.00060712   2005         233     0.00051927     0.00002741      0   10216.00000000  8225.21875000     0.00000000
      53604       0.00808158     0.00451508   2005         234     0.00385806     0.00028286      0     320.00000000   217.50000000     0.00000000
      53605       0.00243851     0.00090958   2005         235     0.00077531     0.00008535      0    5720.00000000  4635.50000000   128.00000000
      53606       0.00231718     0.00173025   2005         236     0.00147975     0.00008110      0    4088.00000000  2034.31250000    64.00000000
      53607       0.00208421     0.00142447   2005         237     0.00121798     0.00007295      0    2248.00000000  1833.00000000    64.00000000
      53608       0.00851815     0.00057447   2005         238     0.00042042     0.00029814      0   26904.00000000 22653.37500000     0.00000000
      53609       0.03764645     0.00142444   2005         239     0.00046336     0.00131763      0   33120.00000000 27591.62500000     0.00000000
      53610       0.06588944     0.00241143   2005         240     0.00060342     0.00230613      0   24192.00000000 18082.40625000     0.00000000
      53611       0.08607062     0.00307649   2005         241     0.00053455     0.00301247      0   34296.00000000 25656.43750000     0.00000000
      53612       0.09618267     0.00347959   2005         242     0.00075367     0.00336639      0   12336.00000000  9136.25000000   464.00000000
      53613       0.10590369     0.00389434   2005         243     0.00102267     0.00370663      0   14048.00000000 10536.00000000     0.00000000
      53614       0.13893316     0.00512392   2005         244     0.00138294     0.00486266      0    9560.00000000  7170.00000000     0.00000000
      53615       0.15889417     0.00562742   2005         245     0.00073642     0.00556130      0   19280.00000000 14460.00000000 19280.00000000
      53616       0.14636295     0.00523748   2005         246     0.00093363     0.00512270      0   16224.00000000 11633.37500000 14720.00000000
      53617       0.12369282     0.00447017   2005         247     0.00095340     0.00432925      0    5816.00000000  4346.75000000     0.00000000
      53618       0.10065237     0.00364300   2005         248     0.00079449     0.00352283      0   11872.00000000  7900.18750000     0.00000000
      53619       0.07507521     0.00284379   2005         249     0.00093108     0.00262763      0    8040.00000000  6027.43750000     0.00000000
      53620       0.05772808     0.00268919   2005         250     0.00151940     0.00202048      0    8296.00000000  2475.50000000   736.00000000
      53621       0.04474491     0.00226565   2005         251     0.00140176     0.00156607      0    6744.00000000  1986.71875000     0.00000000
      53622       0.02986399     0.00227342   2005         252     0.00172850     0.00104524      0    3440.00000000  1384.00000000     0.00000000
      53623       0.02615877     0.00227365   2005         253     0.00178182     0.00091556      0    7960.00000000  1469.04687500   768.00000000
      53624       0.01916308     0.00322518   2005         254     0.00270091     0.00067071      0    3408.00000000   639.91503906     0.00000000
      53625       0.01428746     0.00457309   2005         255     0.00389184     0.00050006      0    1720.00000000   318.35351562     0.00000000
      53627       0.01110264     0.00216207   2005         257     0.00182094     0.00038859      0    4800.00000000  1282.68750000   752.00000000
      53628       0.00958446     0.00257026   2005         258     0.00218174     0.00033546      0   11768.00000000  1691.35937500     0.00000000
      53629       0.00177026     0.00519321   2005         259     0.00444593     0.00006196      0    3888.00000000   430.24218750  3888.00000000
      53631      -0.00183616     0.00157516   2005         261     0.00134748    -0.00006427      0    3376.00000000  1978.12500000     0.00000000
      53632      -0.04611309     0.04462299   2005         262     0.03817962    -0.00161396      3      64.00000000     8.00000000    64.00000000
      53634       0.00994993     0.00532182   2005         264     0.00454659     0.00034825      0    1176.00000000   313.84375000  1176.00000000
      53635      -0.00412047     0.00417684   2005         265     0.00357393    -0.00014422      0    1088.00000000   382.50000000  1088.00000000
      53636       0.00578252     0.00187393   2005         266     0.00159501     0.00020239      0    3784.00000000  1417.12500000  3784.00000000
      53637       0.00187374     0.00156759   2005         267     0.00134094     0.00006558      0    4296.00000000  1850.53125000  4296.00000000
      53638       0.00067255     0.00256188   2005         268     0.00219330     0.00002354      0    1728.00000000   795.25000000  1728.00000000
      53641       0.00479896     0.00267533   2005         271     0.00228601     0.00016796      0    1384.00000000   774.56250000  1384.00000000
      53642       0.00183100     0.00158551   2005         272     0.00135635     0.00006408      0    3256.00000000  1876.56250000  3256.00000000
      53643       0.00201132     0.00191682   2005         273     0.00164001     0.00007040      0    1968.00000000  1168.50000000  1968.00000000
      53646       0.00191588     0.00130375   2005         276     0.00111475     0.00006706      0    9896.00000000  2988.84375000  9896.00000000
      53647      -0.02127946     0.01218447   2005         277     0.01041240    -0.00074478      3     256.00000000    92.00000000   256.00000000
      53648       0.00244353     0.00119606   2005         278     0.00102140     0.00008552      0    6736.00000000  3696.34375000  6736.00000000
      53649       0.00394068     0.00110761   2005         279     0.00094092     0.00013792      0    7656.00000000  3855.25000000  2816.00000000
      53650       0.00254118     0.00068046   2005         280     0.00057759     0.00008894      0   32024.00000000 12837.28125000     0.00000000
      53651       0.00192691     0.00097127   2005         281     0.00082956     0.00006744      0   13824.00000000  5684.12500000 13824.00000000
      53652      -0.00236041     0.00331679   2005         282     0.00283884    -0.00008261      0    1256.00000000   576.09375000  1256.00000000
      53653       0.00028184     0.00116964   2005         283     0.00100137     0.00000986      0    6944.00000000  3391.50000000  6944.00000000
      53654      -0.00149824     0.00164112   2005         284     0.00140435    -0.00005244      0    4392.00000000  1698.84375000  4392.00000000
      53655       0.00055537     0.00185384   2005         285     0.00158710     0.00001944      0    3616.00000000  1417.68750000  3616.00000000
      53656      -0.00228686     0.00225952   2005         286     0.00193331    -0.00008004      0    2416.00000000   945.37500000  2416.00000000
      53657       0.00032813     0.00258338   2005         287     0.00221178     0.00001148      0    2960.00000000  1025.84375000  2960.00000000
      53658       0.00171829     0.00101755   2005         288     0.00086967     0.00006014      0   10512.00000000  5889.03125000 10512.00000000
      53659       0.00311861     0.00240320   2005         289     0.00205541     0.00010915      0    1616.00000000  1095.93750000  1616.00000000
      53660      -0.00340093     0.00321644   2005         290     0.00275191    -0.00011903      0     704.00000000   487.00000000   704.00000000
      53663       0.00001253     0.00385263   2005         293     0.00329848     0.00000044      0    1032.00000000   524.06250000  1032.00000000
      53664      -0.00090664     0.00118239   2005         294     0.00101196    -0.00003173      0    7120.00000000  3724.18750000  7120.00000000
      53665      -0.00194509     0.00189340   2005         295     0.00162001    -0.00006808      0    3032.00000000  1547.50000000  3032.00000000
      53670      -0.00153484     0.01327230   2005         300     0.01136318    -0.00005372      3     768.00000000    84.00000000   768.00000000
      53671      -0.00115030     0.00372822   2005         301     0.00319178    -0.00004026      0    5344.00000000   855.87500000   304.00000000
